ID,Amount
10041017,10665.75
10041021,10665.75
10031925,10665.75
10034540,10665.75
10039740,10665.75
10032165,10665.75
10034130,10665.75
10017720,10665.75
10030222,10665.75
10038423,10665.75
10035612,10665.75
10015155,10665.75
10019230,10665.75
10018741,10665.75
10019785,10665.75
10040166,10665.75
10041124,10932.75
10038239,10932.75
10040477,10932.75
10041345,10932.75
10040439,11205.5
10039784,11205.5
10040446,11205.5
10036989,11205.5
10040425,11486.25
10040482,11486.25
10038866,11773.5
10018795,11773.5
10017030,11773.5
10039574,11773.5
10034640,11773.5
10018069,11773.5
10030391,11773.5
10031165,11773.5
10032538,11773.5
10035698,11773.5
10040046,11773.5
10034386,11773.5
10033061,11773.5
10038746,11773.5
10019609,11773.5
10030231,11773.5
10036864,11773.5
10019986,11773.5
10018323,11773.5
10013540,11773.5
10030404,11773.5
10015931,11773.5
10015276,11773.5
10030986,11773.5
10037984,11773.5
10033333,11773.5
10031914,11773.5
10018793,11773.5
10013081,11773.5
10039144,11773.5
10016173,12067.5
10017456,12067.5
10030709,12067.5
10015406,12067.5
10018093,12067.5
10038384,12067.5
10019433,12067.5
10034221,12067.5
10039332,12067.5
10034260,12067.5
10034694,12067.5
10031346,12067.5
10035781,12067.5
10036309,12067.5
10011782,12067.5
10016884,12067.5
10032007,12067.5
10033754,12067.5
10037749,12067.5
10038342,12067.5
10017061,12067.5
10019017,12067.5
10018346,12067.5
10019382,12067.5
10030451,12067.5
10035099,12067.5
10017932,12067.5
10039059,12067.5
10031105,12067.5
10011539,12067.5
10013077,12067.5
10037846,12067.5
10032894,12067.5
10038224,12067.5
10019270,12067.5
10011824,12067.5
10017877,12067.5
10038593,12067.5
10020006,12067.5
10016904,12369
10033353,12369
10031151,12369
10038664,12369
10018256,12369
10019492,12369
10011771,12369
10019056,12369
10019273,12369
10020058,12369
10034547,12369
10036930,12369
10038449,12369
10031245,12369
10019586,12369
10030566,12678.5
10037643,12678.5
10038388,12678.5
10015929,12678.5
10011354,12678.5
10017701,12678.5
10037529,12995.75
10014309,12995.75
10036951,12995.75
10014499,12995.75
10012603,12995.75
10018125,12995.75
10017496,12995.75
10036910,12995.75
10019873,12995.75
10018783,12995.75
10037568,12995.75
10034718,13320
10032880,13320
10036439,13320
10012089,13320
10037737,13320
10040467,13320
10033082,13320
10037413,13320
10031897,13320
10035621,13320
10020068,13320
10034848,13653.75
10037831,13653.75
10034283,13653.75
10034892,13994.25
10019705,13994.25
10034077,13994.25
10041374,13994.25
10032844,13994.25
10020070,13994.25
10018982,13994.25
10039290,13994.25
10018776,13994.25
10041045,13994.25
10031827,14345
10018269,14345
10039340,14345
10035597,14345
10031418,14345
10030638,14345
10035202,14345
10033322,14345
10017849,14345
10033068,14345
10019186,14345
10038509,14703.25
10019064,14703.25
10014114,14703.25
10040374,14703.25
10011039,14703.25
10038271,14703.25
10031610,14703.25
10014732,14703.25
10030641,14703.25
10012703,14703.25
10015664,15070.75
10018861,15070.75
10041034,15070.75
10019337,15070.75
10034605,15070.75
10014396,15070.75
10015195,15070.75
10030947,15070.75
10032777,15070.75
10018162,15070.75
10033838,15070.75
10017316,15070.75
10014105,15070.75
10016083,15070.75
10036156,15447.5
10040134,15447.5
10036325,15447.5
10034150,15447.5
10017231,15447.5
10041122,15447.5
10039212,15447.5
10030135,15447.5
10031609,15447.5
10015123,15447.5
10017300,15447.5
10015833,15447.5
10016938,15447.5
10035910,15447.5
10040820,15447.5
10018397,15833.5
10034621,16229.25
10014544,16635.75
10019515,16635.75
10017349,16635.75
10019791,17051
10009815,17051
10040121,17051
10018490,17051
10019167,17051
10019365,17051
10019835,17051
10015887,17051
10014385,17051
10015178,17051
10019397,17051
10032033,17051
10018855,17051
10013360,17051
10037308,17051
10016714,17477.75
10018076,17477.75
10034415,17477.75
10018835,17477.75
10018862,17477.75
10019483,17477.75
10018653,17477.75
10016777,17477.75
10031512,17477.75
10038969,17477.75
10037538,17477.75
10018311,17477.75
10016661,17477.75
10014246,17477.75
10016613,17477.75
10032757,17477.75
10011095,17477.75
10030340,17477.75
10040295,17914.25
10040742,17914.25
10018211,17914.25
10018928,17914.25
10019084,17914.25
10018910,17914.25
10019725,17914.25
10011835,17914.25
10009934,17914.25
10019473,17914.25
10017979,18362
10018728,18362
10017942,18362
10011561,18362
10030390,18362
10013835,18362
10015987,18362
10016565,18362
10012526,18362
10018650,18821.5
10016293,19292
10030506,19292
10018462,19773.75
10019533,19773.75
10018705,19773.75
10015472,20268.75
10032291,20775
10008267,20775
10016614,20775
10010598,20775
10014403,20775
10011914,20775
10015828,20775
10014254,21295
10011349,21826.75
10030580,21826.75
10018053,21826.75
10033015,21826.75
10016727,21826.75
10014027,21826.75
10018563,21826.75
10015511,22372.5
10015248,22372.5
10017463,22372.5
10014224,22372.5
10017058,22932
10033780,22932
10019727,22932
10015262,23505.5
10014638,23505.5
10037310,23505.5
10016728,24093
10035906,24093
10008886,24093
10041189,24694.25
10017108,25313
10018416,25945.75
10014642,25945.75
10030084,27258.5
10014597,27940
10011829,28639
10037806,30089
10011476,32401
10040522,1290.25
10039204,1294.583333
10039080,1294.583333
10038454,1294.583333
10040619,1294.583333
10038915,1294.583333
10037279,1294.583333
10038889,1294.583333
10038680,1294.583333
10040205,1294.583333
10037633,1294.583333
10040731,1294.583333
10040782,1322.75
10040154,7229.083333
10039358,1323.833333
10039472,1323.833333
10039352,1323.833333
10040050,1357.416667
10039492,1357.416667
10039085,1358.5
10038053,1358.5
10040851,1358.5
10039354,1389.916667
10037368,1358.5
10039846,1562.166667
10036260,1677
10037681,1677
10040158,1687.833333
10040350,1687.833333
10039964,1687.833333
10040333,1687.833333
10037588,1687.833333
10039349,1687.833333
10037845,1687.833333
10040702,1687.833333
10039230,1687.833333
10038514,1723.583333
10038628,1723.583333
10038229,1771.25
10036730,1863.333333
10018154,1863.333333
10034021,1863.333333
10036903,1863.333333
10036809,1863.333333
10038401,1863.333333
10036338,1887.166667
10018553,1911
10038440,1911
10037849,1911
10036916,13303.33333
10040360,13303.33333
10036802,1982.5
10041323,1982.5
10039691,1982.5
10039153,2036.666667
10040738,2084.333333
10039923,2108.166667
10038513,2139.583333
10039319,2270.666667
10039847,2385.5
10040364,2614.083333
10019726,2684.5
10013639,2644.416667
10016058,2401.75
10034203,2401.75
10035942,2315.083333
10034187,2401.75
10035662,2401.75
10036225,2401.75
10012759,2936.916667
10017493,2401.75
10013934,3173.083333
10020081,2741.916667
10037027,2315.083333
10018004,2836.166667
10013952,3195.833333
10030374,2555.583333
10030549,3173.083333
10012555,2644.416667
10019406,2836.166667
10018423,2315.083333
10038497,2936.916667
10013810,2836.166667
10015011,4334.416667
10036519,2315.083333
10033230,2401.75
10034528,3069.083333
10013964,2936.916667
10012399,3285.75
10034956,2240.333333
10013537,3285.75
10035198,3289
10013310,4334.416667
10019974,2644.416667
10034022,3631.333333
10034187,2401.75
10012192,2401.75
10019227,3173.083333
10030096,2935.833333
10008775,3285.75
10012307,3285.75
10013066,3289
10035478,3069.083333
10037303,3069.083333
10030321,3289
10035347,2555.583333
10013191,2401.75
10036644,2472.166667
10036222,2472.166667
10036695,2472.166667
10013627,2401.75
10034735,2741.916667
10013935,2401.75
10013161,2401.75
10036519,2315.083333
10013036,2936.916667
10033230,2401.75
10039206,3069.083333
10035194,2472.166667
10010937,3285.75
10037940,2240.333333
10037180,2741.916667
10033946,2741.916667
10015481,3289
10037483,2315.083333
